country,year,gdp_growth_pct,inflation_consumer_prices_pct,trade_gdp_pct,poverty_rate,resilience_score
Afghanistan,2025,-1.1372263384344352,0.02470321578572765,67.60961950161038,8.74287518077916,-0.03132858980297785
Afghanistan,2026,-1.7738918522262004,-0.016886481304909218,67.66955177142604,8.74287518077916,-0.03132858980297785
Afghanistan,2027,-2.234407222975622,-0.09373065204810782,67.75464131036,8.74287518077916,-0.03132858980297785
Afghanistan,2028,-2.5775354780280115,-0.18772540202485466,67.85801194674949,8.74287518077916,-0.03132858980297785
Afghanistan,2029,-2.841380520038913,-0.2885618109372956,67.97477585374938,8.74287518077916,-0.03132858980297785
Afghanistan,2030,-3.0508845991443763,-0.39058206209600765,68.10140697539924,8.74287518077916,-0.03132858980297785
Argentina,2025,-1.8190307600364872,,28.69583283665414,1.3243083333333276,0.11031074650410909
Argentina,2026,-1.3431057585006339,,29.170248199817213,1.3232083333333275,0.11031074650410909
Argentina,2027,-0.9991643987261041,,29.58810837184247,1.3290749999999953,0.11031074650410909
Argentina,2028,-0.7420714191956801,,29.955137411582925,1.3290749999999953,0.11031074650410909
Argentina,2029,-0.5436758266593484,,30.27690988820343,1.329441666666662,0.11031074650410909
Argentina,2030,-0.3861917271487698,,30.55864098083193,1.329441666666662,0.11031074650410909
Australia,2025,-0.9119309744588717,2.8778939889882262,46.464440595653585,0.5496333333333334,0.0952603010256156
Australia,2026,-0.7764786253911549,2.691270600854069,45.69664205587643,0.5499999999999999,0.0952603010256156
Australia,2027,-0.6468742738508917,2.5799531911458446,45.02455149925878,0.5499999999999999,0.0952603010256156
Australia,2028,-0.52169945061926,2.5229960336949473,44.453902459746175,0.5510999999999999,0.0952603010256156
Australia,2029,-0.4040781721931985,2.5028145574593044,43.9828216270414,0.5510999999999999,0.0952603010256156
Australia,2030,-0.2974822158809678,2.5057865229751646,43.60387254342252,0.5510999999999999,0.0952603010256156
Bangladesh,2025,2.1484490826729195,10.406271312508654,28.07746502387986,8.8,0.05305502893059201
Bangladesh,2026,2.474274551590554,10.327534193704944,29.23719208052391,8.8,0.05305502893059201
Bangladesh,2027,2.724205425234752,10.233590684716896,30.27269414422838,8.8,0.05305502893059201
Bangladesh,2028,2.916093982175732,10.127902475301587,31.197001780511314,8.8,0.05305502893059201
Bangladesh,2029,3.0635289191521435,10.013427223083466,32.02127512114869,8.8,0.05305502893059201
Bangladesh,2030,3.176862211302586,9.892690491944316,32.75520558722172,8.8,0.05305502893059201
Belgium,2025,-0.6445138359515967,2.7935194445692524,160.27697973197277,0.13273333333333315,0.0704258018722565
Belgium,2026,-0.4149826218722552,1.8344067659251024,158.57290658275087,0.09826666666666702,0.0704258018722565
Belgium,2027,-0.4661383687064964,2.4277293632543717,160.9494739727648,0.10596666666666707,0.0704258018722565
Belgium,2028,-0.4100444456601915,2.7684472037001626,162.11787670605366,0.101566666666667,0.0704258018722565
Belgium,2029,-0.400866118910284,2.866807158349612,162.66185554018304,0.101566666666667,0.0704258018722565
Belgium,2030,-0.4515766698715238,2.8600847621418914,162.776791876263,0.10816666666666705,0.0704258018722565
Canada,2025,-0.6211770218673465,2.1931993270454937,64.83146519561694,0.22440000000000115,0.08616330032194897
Canada,2026,-0.34990526355926876,2.1514360549335017,64.6614824579133,0.2299000000000012,0.08616330032194897
Canada,2027,-0.15942970666001965,2.1815301964871807,64.59954821793941,0.2687666666666679,0.08616330032194897
Canada,2028,-0.036779585272239235,2.238311572167315,64.59658359017257,0.25410000000000127,0.08616330032194897
Canada,2029,0.035178089248435906,2.297299636030993,64.62083038494328,0.26106666666666795,0.08616330032194897
Canada,2030,0.07254762703324946,2.3472877951852062,64.65355247683195,0.2222000000000012,0.08616330032194897
China,2025,2.9403485515171797,0.26312796107020114,37.68644016903762,0.0,0.06587060342959432
China,2026,3.323906003001743,0.33903392336501625,38.173557965136474,0.0,0.06587060342959432
China,2027,3.6416389754481138,0.4340723165532215,38.647299501086216,0.0,0.06587060342959432
China,2028,3.904906642389702,0.5395610262622451,39.09945082696157,0.0,0.06587060342959432
China,2029,4.123173098749986,0.649209203022552,39.52497821561379,0.0,0.06587060342959432
China,2030,4.304310013971386,0.7585621243976655,39.92118859183203,0.0,0.06587060342959432
Croatia,2025,0.6593703466544394,1.6254812607380371,99.38541583224088,0.419257142857145,0.09162415027941352
Croatia,2026,2.0344039638011395,1.8689307185920434,99.74764769259099,0.4025345238095251,0.09162415027941352
Croatia,2027,2.457404828220538,3.348809931369095,103.20060935657084,0.3801547619047634,0.09162415027941352
Croatia,2028,2.548555595472207,4.327576873868484,104.78920675002308,0.37867500000000126,0.09162415027941352
Croatia,2029,2.414895095525079,4.811782979621475,104.97802651378692,0.37867500000000126,0.09162415027941352
Croatia,2030,2.192655751752431,4.914944801464987,104.28135289083878,0.3803119047619059,0.09162415027941352
France,2025,-1.1797299585786742,1.8497811184793713,66.76421130425335,0.10926666666666725,0.078819679264233
France,2026,-1.0702104772171148,1.7555471357161536,66.45310470472063,0.10890000000000058,0.078819679264233
France,2027,-0.9934832376907705,1.6983114154019996,66.24181893271856,0.10890000000000058,0.078819679264233
France,2028,-0.9405259560523818,1.665440973282996,66.09688890665382,0.10890000000000058,0.078819679264233
France,2029,-0.9045620722174983,1.6482216803086902,65.99525118585731,0.10890000000000058,0.078819679264233
France,2030,-0.8805770633560459,1.6407426010559467,65.92126959147214,0.10890000000000058,0.078819679264233
Germany,2025,-1.6998581815002023,1.8906799320842458,79.59745264152437,0.2878333333333346,0.08710209005198385
