country_a,country_b,total_trade_usd,mutual_benefit_pct,gdp_loss_pct_a,gdp_loss_pct_b
China,France,16,7.303974257483503e-11,1.1473813242162476e-12,3.7635662020989786e-12
China,UK,16,7.146801488247194e-11,1.1473813242162476e-12,3.517989877587621e-12
China,Japan,16,7.02678531758465e-11,1.1473813242162476e-12,4.400755700543283e-12
China,Germany,16,6.83651635256201e-11,1.1473813242162476e-12,2.1367493326748263e-12
India,Russia,4,6.57189773776042e-11,1.1442697190478349e-12,2.3287153256198736e-12
China,Croatia,12,6.37066796772275e-11,8.605359931621857e-13,6.313171873361157e-11
France,France,4,6.324952518625462e-11,9.408915505247446e-13,9.408915505247446e-13
China,Sweden,12,6.200293999092615e-11,8.605359931621857e-13,9.382762429371587e-12
Argentina,China,12,6.192886790737224e-11,3.364659998304694e-11,8.605359931621857e-13
Canada,China,12,5.718354895139621e-11,4.1072619529941114e-12,8.605359931621857e-13
UK,UK,4,5.488723954994305e-11,8.794974693969052e-13,8.794974693969052e-13
Croatia,USA,16,5.4649631319093484e-11,8.417562497814877e-11,1.1013923940319393e-12
Sri Lanka,USA,16,5.463761854917775e-11,1.9066723251269391e-10,1.1013923940319393e-12
Portugal,USA,16,5.424910650132931e-11,2.843563229463224e-11,1.1013923940319393e-12
Pakistan,USA,16,5.4130931212692743e-11,7.803887742099943e-11,1.1013923940319393e-12
Israel,USA,16,5.3826256388526967e-11,2.7187980206928677e-11,1.1013923940319393e-12
Belgium,USA,16,5.360232017215049e-11,7.59718546640584e-12,1.1013923940319393e-12
China,India,12,5.2964957722407696e-11,8.605359931621857e-13,3.432809157143505e-12
Saudi Arabia,USA,16,5.2592791993943014e-11,1.1795550089410234e-11,1.1013923940319393e-12
Spain,USA,16,5.1767142628492415e-11,6.605143878287856e-12,1.1013923940319393e-12
Australia,USA,16,5.1717868297503805e-11,9.64975311336542e-12,1.1013923940319393e-12
Italy,USA,16,5.070083679915061e-11,5.336798119521941e-12,1.1013923940319393e-12
France,USA,16,4.946367606697952e-11,3.7635662020989786e-12,1.1013923940319393e-12
UK,USA,16,4.87378062820576e-11,3.517989877587621e-12,1.1013923940319393e-12
Japan,USA,16,4.817666263507946e-11,4.400755700543283e-12,1.1013923940319393e-12
Germany,USA,16,4.7274591247588996e-11,2.1367493326748263e-12,1.1013923940319393e-12
Afghanistan,China,8,4.264175159048683e-11,3.450572174614026e-10,5.736906621081238e-13
China,Iraq,8,4.205337277427495e-11,5.736906621081238e-13,1.9139316970365978e-11
China,Iran,8,4.1708571828157235e-11,5.736906621081238e-13,1.8415568693031085e-11
Bangladesh,China,8,4.1679859654621115e-11,3.318584351347672e-11,5.736906621081238e-13
Sweden,USA,12,4.027520343031855e-11,9.382762429371587e-12,8.260442955239545e-13
Argentina,USA,12,4.024393634970983e-11,3.364659998304694e-11,8.260442955239545e-13
China,Russia,8,3.824523412324696e-11,5.736906621081238e-13,4.657430651239747e-12
Canada,USA,12,3.818476836882118e-11,4.1072619529941114e-12,8.260442955239545e-13
India,USA,12,3.6256431404155116e-11,3.432809157143505e-12,8.260442955239545e-13
China,USA,16,3.3382925636993444e-11,1.1473813242162476e-12,1.1013923940319393e-12
Afghanistan,USA,8,2.7395344256132574e-11,3.450572174614026e-10,5.506961970159697e-13
Iraq,USA,8,2.715128888375689e-11,1.9139316970365978e-11,5.506961970159697e-13
Iran,USA,8,2.700713998038781e-11,1.8415568693031085e-11,5.506961970159697e-13
Bangladesh,USA,8,2.69950985517594e-11,3.318584351347672e-11,5.506961970159697e-13
Russia,USA,8,2.551124063305524e-11,4.657430651239747e-12,5.506961970159697e-13
China,China,4,1.067019313942004e-11,2.868453310540619e-13,2.868453310540619e-13
Croatia,Iran,0,0.0,0.0,0.0
Bangladesh,Croatia,0,0.0,0.0,0.0
Canada,Canada,0,0.0,0.0,0.0
Canada,Iraq,0,0.0,0.0,0.0
Belgium,Belgium,0,0.0,0.0,0.0
Afghanistan,Argentina,0,0.0,0.0,0.0
Afghanistan,Croatia,0,0.0,0.0,0.0
Afghanistan,Spain,0,0.0,0.0,0.0
India,India,0,0.0,0.0,0.0
Croatia,Iraq,0,0.0,0.0,0.0
Croatia,Russia,0,0.0,0.0,0.0
France,UK,0,0.0,0.0,0.0
Argentina,Russia,0,0.0,0.0,0.0
Argentina,Bangladesh,0,0.0,0.0,0.0
Argentina,Iran,0,0.0,0.0,0.0
Argentina,Iraq,0,0.0,0.0,0.0
