country,year,disaster_type,exports_goods_services_gdp_pct,gdp_current_usd,gdp_growth_pct,gdp_per_capita_current_usd,imports_goods_services_gdp_pct,inflation_consumer_prices_pct,trade_gdp_pct,current_account_balance_gdp_pct,external_debt_stocks_gni_pct,fdi_net_inflows_gdp_pct,Gini index,life_expectancy_birth_female_yrs,life_expectancy_birth_male_yrs,life_expectancy_birth_total_yrs,population_growth_annual_pct,poverty_headcount_ratio_3ppp_pct,unemployment_total_pct_labor_force_social,urban_population_pct_total,total_exports_usd,total_exports_tonnes,total_imports_usd,total_imports_tonnes,total_production_tonnes,avg_yield_kg_ha,total_livestock_head,num_disasters,total_deaths,total_affected,total_homeless,total_damage_adjusted_usd,avg_magnitude,employment_to_pop_ratio_female,employment_to_pop_ratio_male,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",employment_to_pop_ratio_1524_female,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",employment_to_pop_ratio_1524_male,employment_to_pop_ratio_1524_total,Unemployment with advanced education (% of total labor force with advanced education),unemployment_advanced_education_female,unemployment_advanced_education_male,unemployment_basic_education,unemployment_basic_education_female,unemployment_basic_education_male,unemployment_female,unemployment_male,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_youth_female,unemployment_youth_male,unemployment_youth_total,rural_population,total_population,population_female,population_male,urban_population,urbanization_pct,exports_goods_services_gdp_pct_imputed,gdp_current_usd_imputed,gdp_growth_pct_imputed,gdp_per_capita_current_usd_imputed,imports_goods_services_gdp_pct_imputed,inflation_consumer_prices_pct_imputed,trade_gdp_pct_imputed,current_account_balance_gdp_pct_imputed,external_debt_stocks_gni_pct_imputed,fdi_net_inflows_gdp_pct_imputed,Gini index_imputed,life_expectancy_birth_female_yrs_imputed,life_expectancy_birth_male_yrs_imputed,life_expectancy_birth_total_yrs_imputed,population_growth_annual_pct_imputed,poverty_headcount_ratio_3ppp_pct_imputed,unemployment_total_pct_labor_force_social_imputed,urban_population_pct_total_imputed,total_exports_usd_imputed,total_exports_tonnes_imputed,total_imports_usd_imputed,total_imports_tonnes_imputed,total_production_tonnes_imputed,avg_yield_kg_ha_imputed,total_livestock_head_imputed,num_disasters_imputed,total_deaths_imputed,total_affected_imputed,total_homeless_imputed,total_damage_adjusted_usd_imputed,avg_magnitude_imputed,employment_to_pop_ratio_female_imputed,employment_to_pop_ratio_male_imputed,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)_imputed",employment_to_pop_ratio_1524_female_imputed,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)_imputed",employment_to_pop_ratio_1524_male_imputed,employment_to_pop_ratio_1524_total_imputed,Unemployment with advanced education (% of total labor force with advanced education)_imputed,unemployment_advanced_education_female_imputed,unemployment_advanced_education_male_imputed,unemployment_basic_education_imputed,unemployment_basic_education_female_imputed,unemployment_basic_education_male_imputed,unemployment_female_imputed,unemployment_male_imputed,"Unemployment, total (% of total labor force) (modeled ILO estimate)_imputed",unemployment_youth_female_imputed,unemployment_youth_male_imputed,unemployment_youth_total_imputed,rural_population_imputed,total_population_imputed,population_female_imputed,population_male_imputed,urban_population_imputed,urbanization_pct_imputed,trade_dependency_index,resilience_score,gdp_growth_pct_lag1,gdp_growth_pct_lag2,trade_gdp_pct_lag1,trade_gdp_pct_lag2,inflation_consumer_prices_pct_lag1,inflation_consumer_prices_pct_lag2,poverty_headcount_ratio_3ppp_pct_lag1,poverty_headcount_ratio_3ppp_pct_lag2,exports_imports_ratio,gdp_per_capita_growth,trade_balance_gdp_pct
Afghanistan,2003,Flood,10.4208171386207,4520946818.54581,8.83227780288267,198.871115728727,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,1.27849325196424,34.67281659388646,58.472,55.849,57.171,6.14519400188515,8.118995633187772,7.88,22.353,44.0,0.011,76.0,0.019,10128963.2,5649.063888888889,22288402.0,8.0,136.0,500.0,3250.0,0.0,5531.666666666667,12.7,73.805,10.458,35.109,55.543,69.011,33.443,7.86,9.956,7.578,7.38,14.091,6.141,10.427,7.414,7.88,13.964,9.47,10.189,17909063.0,22733049.0,11306364.0,11426685.0,5155788.0,22.67970301739991,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.024180426409647026,8.83227780288267,28.6000011706788,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2004,Earthquake,10.4208171386207,5224896718.67782,1.41411799339429,221.763653873013,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,3.577104200584,34.67281659388646,59.073,56.519,57.81,3.57583485398158,8.118995633187772,7.899,22.5,44.0,0.011,76.0,0.019,9223923.31,5813.883333333333,23277022.0,1.0,2.0,0.0,1000.0,0.0,5.2,12.741,73.684,10.535,35.109,55.529,69.011,33.479,7.86,9.956,7.578,7.38,14.091,6.141,10.447,7.432,7.899,13.964,9.478,10.2,18692107.0,23560654.0,11709120.0,11851533.0,5426872.0,23.0336220717812,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.044625983832865014,8.83227780288267,8.83227780288267,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,11.511243380116042,-25.868260274168904
Afghanistan,2004,Flood,10.4208171386207,5224896718.67782,1.41411799339429,221.763653873013,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,3.577104200584,34.67281659388646,59.073,56.519,57.81,3.57583485398158,8.118995633187772,7.899,22.5,44.0,0.011,76.0,0.019,9223923.31,5813.883333333333,23277022.0,2.0,16.0,2800.0,1700.0,0.0,40435.0,12.741,73.684,10.535,35.109,55.529,69.011,33.479,7.86,9.956,7.578,7.38,14.091,6.141,10.447,7.432,7.899,13.964,9.478,10.2,18692107.0,23560654.0,11709120.0,11851533.0,5426872.0,23.0336220717812,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.044625983832865014,1.41411799339429,8.83227780288267,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2005,Earthquake,10.4208171386207,6203256538.70967,11.2297148272859,254.184249149336,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,4.36867310434287,34.67281659388646,59.588,56.88,58.247,3.51921696042587,8.118995633187772,7.885,22.703,44.0,0.011,76.0,0.019,11412745.12,5620.144444444445,23244414.0,2.0,6.0,500.0,0.0,80000.0,7.05,12.83,73.58,10.67,35.109,55.567,69.011,33.569,7.86,9.956,7.578,7.38,14.091,6.141,10.428,7.416,7.885,13.918,9.456,10.181,19378962.0,24404567.0,12119909.0,12284657.0,5691836.0,23.322831337265683,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.0516667870997048,1.41411799339429,1.41411799339429,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,14.619435922032476,-25.868260274168904
Afghanistan,2005,Epidemic,10.4208171386207,6203256538.70967,11.2297148272859,254.184249149336,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,4.36867310434287,34.67281659388646,59.588,56.88,58.247,3.51921696042587,8.118995633187772,7.885,22.703,44.0,0.011,76.0,0.019,11412745.12,5620.144444444445,23244414.0,1.0,0.0,3245.0,0.0,0.0,33913.86666666667,12.83,73.58,10.67,35.109,55.567,69.011,33.569,7.86,9.956,7.578,7.38,14.091,6.141,10.428,7.416,7.885,13.918,9.456,10.181,19378962.0,24404567.0,12119909.0,12284657.0,5691836.0,23.322831337265683,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.0516667870997048,11.2297148272859,1.41411799339429,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2005,Extreme temperature,10.4208171386207,6203256538.70967,11.2297148272859,254.184249149336,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,4.36867310434287,34.67281659388646,59.588,56.88,58.247,3.51921696042587,8.118995633187772,7.885,22.703,44.0,0.011,76.0,0.019,11412745.12,5620.144444444445,23244414.0,1.0,21.0,0.0,0.0,0.0,67820.68333333333,12.83,73.58,10.67,35.109,55.567,69.011,33.569,7.86,9.956,7.578,7.38,14.091,6.141,10.428,7.416,7.885,13.918,9.456,10.181,19378962.0,24404567.0,12119909.0,12284657.0,5691836.0,23.322831337265683,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.0516667870997048,11.2297148272859,11.2297148272859,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2005,Flood,10.4208171386207,6203256538.70967,11.2297148272859,254.184249149336,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,4.36867310434287,34.67281659388646,59.588,56.88,58.247,3.51921696042587,8.118995633187772,7.885,22.703,44.0,0.011,76.0,0.019,11412745.12,5620.144444444445,23244414.0,8.0,283.0,11500.0,6775.0,0.0,101727.5,12.83,73.58,10.67,35.109,55.567,69.011,33.569,7.86,9.956,7.578,7.38,14.091,6.141,10.428,7.416,7.885,13.918,9.456,10.181,19378962.0,24404567.0,12119909.0,12284657.0,5691836.0,23.322831337265683,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.0516667870997048,11.2297148272859,11.2297148272859,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2005,Storm,10.4208171386207,6203256538.70967,11.2297148272859,254.184249149336,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,4.36867310434287,34.67281659388646,59.588,56.88,58.247,3.51921696042587,8.118995633187772,7.885,22.703,44.0,0.011,76.0,0.019,11412745.12,5620.144444444445,23244414.0,1.0,260.0,22656.0,0.0,8031000.0,67820.20000000001,12.83,73.58,10.67,35.109,55.567,69.011,33.569,7.86,9.956,7.578,7.38,14.091,6.141,10.428,7.416,7.885,13.918,9.456,10.181,19378962.0,24404567.0,12119909.0,12284657.0,5691836.0,23.322831337265683,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.0516667870997048,11.2297148272859,11.2297148272859,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2006,Drought,10.4208171386207,6971758282.29351,5.35740324748592,274.218553561575,36.2890774127896,6.78459655001655,46.7098945514103,0.0,13.7928583731895,3.41377297323201,34.67281659388646,60.123,56.974,58.553,4.09270201656348,8.118995633187772,7.914,22.907,44.0,0.011,76.0,0.019,10392699.2,5557.9944444444445,21683880.0,1.0,0.0,1900000.0,0.0,0.0,33912.90000000001,12.958,73.427,10.862,35.109,55.606,69.011,33.684,7.86,9.956,7.578,7.38,14.091,6.141,10.456,7.441,7.914,13.91,9.464,10.197,19961972.0,25424094.0,12618615.0,12805479.0,5931478.0,23.33014501913028,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.04317319427322467,11.2297148272859,11.2297148272859,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,7.881804037538376,-25.868260274168904
Afghanistan,2006,Earthquake,10.4208171386207,6971758282.29351,5.35740324748592,274.218553561575,36.2890774127896,6.78459655001655,46.7098945514103,0.0,13.7928583731895,3.41377297323201,34.67281659388646,60.123,56.974,58.553,4.09270201656348,8.118995633187772,7.914,22.907,44.0,0.011,76.0,0.019,10392699.2,5557.9944444444445,21683880.0,1.0,1.0,740.0,195.0,0.0,5.6,12.958,73.427,10.862,35.109,55.606,69.011,33.684,7.86,9.956,7.578,7.38,14.091,6.141,10.456,7.441,7.914,13.91,9.464,10.197,19961972.0,25424094.0,12618615.0,12805479.0,5931478.0,23.33014501913028,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.04317319427322467,5.35740324748592,11.2297148272859,46.7098945514103,46.7098945514103,6.78459655001655,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
