country,current_median_age,increased_median_age,median_age_increase,productivity_drop_frac,export_impact_pct_gdp,gdp_loss_usd,labor_ratio
Sri Lanka,34.1,44.1,10,0.012508,0.24873809952697895,246159146.86806175,12.508
Sri Lanka,34.1,49.1,15,0.018761999999999997,0.3731071492904684,369238720.3020927,12.508
Sweden,41.1,46.1,5,0.0220525,1.2040953544728876,7346399981.098379,44.105
Sweden,41.1,51.1,10,0.044105,2.4081907089457752,14692799962.196758,44.105
Sweden,41.1,56.1,15,0.0661575,3.6122860634186624,22039199943.295135,44.105
UK,40.8,45.8,5,0.023606000000000002,0.7232339959221173,26353447608.310913,47.212
UK,40.8,50.8,10,0.047212000000000004,1.4464679918442347,52706895216.621826,47.212
UK,40.8,55.8,15,0.070818,2.169701987766352,79060342824.93274,47.212
USA,38.9,43.9,5,0.023408,0.2550740514286675,74443081328.00005,46.816
USA,38.9,48.9,10,0.046816,0.510148102857335,148886162656.0001,46.816
USA,38.9,53.9,15,0.070224,0.7652221542860025,223329243984.00012,46.816
