country,year,disaster_type,num_disasters,total_deaths,total_affected,total_homeless,total_damage_adjusted_usd,avg_magnitude
Argentina,2002,Extreme temperature,1,0.0,200.0,0.0,0.0,
Argentina,2002,Flood,1,4.0,6000.0,0.0,0.0,
Argentina,2002,Storm,1,3.0,5000.0,0.0,0.0,
Argentina,2003,Drought,1,0.0,0.0,0.0,204626000.0,
Argentina,2003,Flood,2,27.0,143000.0,20000.0,1753321000.0,202800.0
Argentina,2003,Storm,1,12.0,900.0,0.0,0.0,
Argentina,2004,Extreme temperature,1,5.0,0.0,0.0,0.0,-11.0
Argentina,2004,Flood,2,5.0,6300.0,0.0,0.0,3230.0
Argentina,2005,Storm,1,11.0,0.0,200.0,0.0,90.0
Argentina,2006,Flood,1,0.0,4500.0,0.0,0.0,
Argentina,2007,Extreme temperature,1,9.0,0.0,0.0,0.0,-3.8
Argentina,2007,Flood,2,10.0,130000.0,5000.0,60516000.0,261000.0
Argentina,2008,Flood,1,0.0,85000.0,0.0,0.0,88120.0
Argentina,2008,Volcanic activity,1,0.0,0.0,0.0,0.0,
Argentina,2009,Drought,1,0.0,0.0,0.0,0.0,
Argentina,2009,Epidemic,1,6.0,13366.0,0.0,0.0,
Argentina,2009,Flood,2,9.0,34128.0,0.0,0.0,415000.0
Argentina,2009,Mass movement (wet),1,4.0,20000.0,0.0,21933000.0,
Argentina,2009,Storm,1,10.0,0.0,0.0,0.0,
Argentina,2010,Extreme temperature,1,42.0,0.0,0.0,0.0,
Argentina,2011,Volcanic activity,1,0.0,3000.0,0.0,145033000.0,
Argentina,2012,Flood,1,6.0,10000.0,0.0,0.0,377212.0
Argentina,2012,Storm,2,19.0,7500.0,2000.0,16396000.0,130.0
Argentina,2013,Flood,1,52.0,350000.0,0.0,1750518000.0,18135.4
Argentina,2013,Storm,1,4.0,0.0,0.0,2693000.0,
Argentina,2014,Flood,3,3.0,7203.0,0.0,82154000.0,69876.78
Argentina,2014,Mass movement (wet),1,24.0,350.0,0.0,0.0,
Argentina,2015,Flood,3,11.0,141133.0,0.0,0.0,133853.0
Argentina,2015,Storm,1,8.0,4500.0,0.0,22764000.0,
Argentina,2015,Volcanic activity,1,0.0,0.0,0.0,0.0,
Argentina,2016,Flood,2,0.0,85769.0,0.0,1309612000.0,
Argentina,2017,Flood,3,1.0,51777.0,0.0,0.0,27377.03
Argentina,2017,Mass movement (wet),1,0.0,2666.0,0.0,0.0,
Argentina,2018,Drought,1,0.0,0.0,0.0,4247367000.0,
Argentina,2018,Flood,3,0.0,63420.0,0.0,0.0,234622.64
Argentina,2018,Storm,1,2.0,1200.0,0.0,0.0,130.0
Argentina,2019,Drought,1,8.0,35000.0,0.0,0.0,
Argentina,2019,Flood,3,6.0,35351.0,0.0,0.0,
Argentina,2020,Flood,1,3.0,3000.0,0.0,12120000.0,
Argentina,2020,Storm,1,0.0,250.0,0.0,0.0,
Argentina,2021,Earthquake,1,0.0,1800.0,0.0,0.0,6.4
Argentina,2021,Flood,1,0.0,90.0,0.0,0.0,
Argentina,2021,Wildfire,1,15.0,1200.0,0.0,0.0,
Argentina,2022,Wildfire,1,0.0,124085.0,0.0,825342000.0,
Argentina,2023,Flood,1,0.0,38000.0,0.0,0.0,
Argentina,2023,Storm,2,13.0,14000.0,0.0,128687000.0,150.0
Argentina,2023,Wildfire,1,0.0,800.0,0.0,0.0,
Argentina,2024,Flood,2,0.0,402400.0,0.0,0.0,
Argentina,2024,Storm,1,1.0,400000.0,0.0,250000000.0,150.0
Australia,2000,Flood,1,0.0,600.0,0.0,482738000.0,112000.0
Australia,2000,Infestation,1,0.0,0.0,0.0,218599000.0,
Australia,2000,Storm,3,1.0,1350.0,0.0,273248000.0,176.66666666666666
Australia,2000,Wildfire,1,0.0,200.0,0.0,0.0,
Australia,2001,Flood,4,4.0,3970.0,0.0,398607000.0,21026.666666666668
Australia,2001,Storm,3,2.0,180.0,0.0,11692000.0,112.0
Australia,2001,Wildfire,2,0.0,4400.0,0.0,159443000.0,2890.0
Australia,2002,Drought,1,0.0,0.0,0.0,3487855000.0,
Australia,2002,Storm,3,0.0,120.0,9.0,0.0,110.0
Australia,2002,Wildfire,1,2.0,0.0,240.0,87196000.0,
Australia,2003,Flood,4,1.0,470.0,0.0,131301000.0,33061.666666666664
Australia,2003,Storm,5,1.0,2040.0,30.0,158585000.0,115.0
Australia,2003,Wildfire,1,4.0,2500.0,0.0,511565000.0,30000.0
Australia,2004,Flood,3,3.0,3620.0,0.0,87189000.0,438123.3333333333
Australia,2004,Infestation,1,0.0,0.0,0.0,0.0,
Australia,2004,Storm,3,3.0,645.0,0.0,99646000.0,
Australia,2005,Flood,1,3.0,3000.0,0.0,93163000.0,
Australia,2005,Storm,2,1.0,1200.0,0.0,67463000.0,124.0
Australia,2005,Wildfire,1,12.0,200.0,0.0,64250000.0,1000.0
Australia,2006,Drought,1,0.0,0.0,0.0,0.0,
Australia,2006,Flood,1,0.0,1100.0,0.0,0.0,39370.0
Australia,2006,Storm,3,0.0,2000.0,7000.0,1839815000.0,262.5
Australia,2006,Wildfire,3,4.0,0.0,141.0,155606000.0,
Australia,2007,Flood,1,9.0,5000.0,0.0,1966774000.0,11380.0
Australia,2007,Storm,1,2.0,730.0,90.0,151290000.0,275.0
Australia,2008,Flood,4,7.0,8400.0,0.0,3008639000.0,210227.5
Australia,2008,Storm,1,1.0,12000.0,0.0,655636000.0,
Australia,2009,Extreme temperature,1,347.0,0.0,0.0,0.0,48.8
Australia,2009,Flood,2,7.0,9200.0,0.0,219325000.0,149300.0
Australia,2009,Storm,2,1.0,15400.0,0.0,87730000.0,130.0
Australia,2009,Wildfire,1,180.0,9454.0,0.0,1900817000.0,3100.0
Australia,2010,Flood,5,35.0,186000.0,0.0,10658393000.0,498786.2
Australia,2010,Storm,3,1.0,0.0,0.0,3912921000.0,140.0
Australia,2011,Flood,1,0.0,217.0,0.0,0.0,114051.0
Australia,2011,Storm,1,1.0,7300.0,0.0,3486375000.0,290.0
Australia,2011,Wildfire,1,0.0,120.0,0.0,75306000.0,
Australia,2012,Flood,2,4.0,16000.0,0.0,803371000.0,761154.0
Australia,2013,Storm,1,6.0,7500.0,0.0,2693105000.0,
Australia,2013,Wildfire,2,3.0,1440.0,0.0,492838000.0,
Australia,2014,Extreme temperature,1,139.0,0.0,0.0,0.0,52.0
Australia,2014,Storm,1,0.0,52527.0,0.0,1325057000.0,
Australia,2014,Wildfire,2,2.0,0.0,270.0,165632000.0,
Australia,2015,Flood,1,6.0,0.0,0.0,529395000.0,
Australia,2015,Storm,4,8.0,1990.0,6048.0,2621828000.0,172.5
Australia,2015,Wildfire,3,2.0,126.0,453.0,464544000.0,
Australia,2016,Epidemic,1,0.0,0.0,0.0,0.0,
Australia,2016,Flood,1,1.0,280.0,0.0,32675000.0,634200.41
Australia,2016,Storm,1,5.0,0.0,0.0,653499000.0,115.0
Australia,2016,Wildfire,1,2.0,0.0,540.0,143770000.0,
Australia,2017,Storm,2,12.0,51000.0,0.0,4082364000.0,263.0
Australia,2017,Wildfire,1,0.0,27.0,114.0,25595000.0,59000.0
Australia,2018,Drought,1,0.0,0.0,0.0,1499071000.0,
Australia,2018,Extreme temperature,1,0.0,0.0,0.0,0.0,49.3
Australia,2018,Flood,1,0.0,600.0,0.0,14241000.0,105583.27
