country,gdp_proj_2028_usd,total_trade_loss_usd,gdp_pct_loss
Afghanistan,18761252038.319706,6.8035747007556995e-12,3.626396941344561e-20
Sri Lanka,112858206025.57152,7.093417550965919e-12,6.285247480682695e-21
Portugal,339200752621.451,6.8350185443572995e-12,2.015036373455574e-21
Pakistan,423737313107.2728,7.064806477287256e-12,1.6672608851651302e-21
Israel,607901287852.2875,6.99729056608947e-12,1.1510570393444742e-21
