country,year,gdp_growth_pct,inflation_consumer_prices_pct,trade_gdp_pct,poverty_rate,resilience_score
Afghanistan,2025,1.3627736615655648,0.02470321578572765,67.60961950161038,7.948068346162873,-0.03685716447409158
Afghanistan,2026,0.7261081477737996,-0.016886481304909218,67.66955177142604,7.948068346162873,-0.03685716447409158
Afghanistan,2027,0.265592777024378,-0.09373065204810782,67.75464131036,7.948068346162873,-0.03685716447409158
Afghanistan,2028,-0.07753547802801153,-0.18772540202485466,67.85801194674949,7.948068346162873,-0.03685716447409158
Afghanistan,2029,-0.34138052003891284,-0.2885618109372956,67.97477585374938,7.948068346162873,-0.03685716447409158
Afghanistan,2030,-0.5508845991443763,-0.39058206209600765,68.10140697539924,7.948068346162873,-0.03685716447409158
Argentina,2025,0.6809692399635128,,28.69583283665414,1.2039166666666614,0.12977734882836364
Argentina,2026,1.1568942414993661,,29.170248199817213,1.2029166666666613,0.12977734882836364
Argentina,2027,1.500835601273896,,29.58810837184247,1.2082499999999956,0.12977734882836364
Argentina,2028,1.75792858080432,,29.955137411582925,1.2082499999999956,0.12977734882836364
Argentina,2029,1.9563241733406516,,30.27690988820343,1.208583333333329,0.12977734882836364
Argentina,2030,2.11380827285123,,30.55864098083193,1.208583333333329,0.12977734882836364
Australia,2025,1.5880690255411283,2.8778939889882262,46.464440595653585,0.4996666666666667,0.11207094238307717
Australia,2026,1.7235213746088451,2.691270600854069,45.69664205587643,0.4999999999999999,0.11207094238307717
Australia,2027,1.8531257261491083,2.5799531911458446,45.02455149925878,0.4999999999999999,0.11207094238307717
Australia,2028,1.97830054938074,2.5229960336949473,44.453902459746175,0.5009999999999999,0.11207094238307717
Australia,2029,2.0959218278068015,2.5028145574593044,43.9828216270414,0.5009999999999999,0.11207094238307717
Australia,2030,2.202517784119032,2.5057865229751646,43.60387254342252,0.5009999999999999,0.11207094238307717
Bangladesh,2025,4.6484490826729195,10.406271312508654,28.07746502387986,8.0,0.06241768109481413
Bangladesh,2026,4.974274551590554,10.327534193704944,29.23719208052391,8.0,0.06241768109481413
Bangladesh,2027,5.224205425234752,10.233590684716896,30.27269414422838,8.0,0.06241768109481413
Bangladesh,2028,5.416093982175732,10.127902475301587,31.197001780511314,8.0,0.06241768109481413
Bangladesh,2029,5.5635289191521435,10.013427223083466,32.02127512114869,8.0,0.06241768109481413
Bangladesh,2030,5.676862211302586,9.892690491944316,32.75520558722172,8.0,0.06241768109481413
Belgium,2025,1.8554861640484033,2.7935194445692524,160.27697973197277,0.12066666666666649,0.08285388455559588
Belgium,2026,2.085017378127745,1.8344067659251024,158.57290658275087,0.08933333333333364,0.08285388455559588
Belgium,2027,2.0338616312935036,2.4277293632543717,160.9494739727648,0.09633333333333369,0.08285388455559588
Belgium,2028,2.0899555543398085,2.7684472037001626,162.11787670605366,0.09233333333333363,0.08285388455559588
Belgium,2029,2.099133881089716,2.866807158349612,162.66185554018304,0.09233333333333363,0.08285388455559588
Belgium,2030,2.048423330128476,2.8600847621418914,162.776791876263,0.09833333333333368,0.08285388455559588
Canada,2025,1.8788229781326535,2.1931993270454937,64.83146519561694,0.20400000000000104,0.1013685886140576
Canada,2026,2.1500947364407312,2.1514360549335017,64.6614824579133,0.20900000000000107,0.1013685886140576
Canada,2027,2.3405702933399803,2.1815301964871807,64.59954821793941,0.2443333333333344,0.1013685886140576
Canada,2028,2.4632204147277608,2.238311572167315,64.59658359017257,0.23100000000000112,0.1013685886140576
Canada,2029,2.535178089248436,2.297299636030993,64.62083038494328,0.23733333333333448,0.1013685886140576
Canada,2030,2.5725476270332495,2.3472877951852062,64.65355247683195,0.20200000000000107,0.1013685886140576
China,2025,5.44034855151718,0.26312796107020114,37.68644016903762,0.0,0.07749482756422861
China,2026,5.823906003001743,0.33903392336501625,38.173557965136474,0.0,0.07749482756422861
China,2027,6.141638975448114,0.4340723165532215,38.647299501086216,0.0,0.07749482756422861
China,2028,6.404906642389702,0.5395610262622451,39.09945082696157,0.0,0.07749482756422861
China,2029,6.623173098749986,0.649209203022552,39.52497821561379,0.0,0.07749482756422861
China,2030,6.804310013971386,0.7585621243976655,39.92118859183203,0.0,0.07749482756422861
Croatia,2025,3.1593703466544394,1.6254812607380371,99.38541583224088,0.38114285714285906,0.10779311797578062
Croatia,2026,4.5344039638011395,1.8689307185920434,99.74764769259099,0.3659404761904773,0.10779311797578062
Croatia,2027,4.957404828220538,3.348809931369095,103.20060935657084,0.3455952380952394,0.10779311797578062
Croatia,2028,5.048555595472207,4.327576873868484,104.78920675002308,0.3442500000000011,0.10779311797578062
Croatia,2029,4.914895095525079,4.811782979621475,104.97802651378692,0.3442500000000011,0.10779311797578062
Croatia,2030,4.692655751752431,4.914944801464987,104.28135289083878,0.34573809523809623,0.10779311797578062
France,2025,1.3202700414213258,1.8497811184793713,66.76421130425335,0.09933333333333386,0.09272903442850941
